소스 파일,페이지 번호,추정 문제 번호,추출된 텍스트
2024.pdf,3,9,"9. 수직선 위의 두 점 Plog, Qlog에 대하여 
선분 PQ를 으로 내분하는 점의 좌표가 일 때, 
의 값은? (단, 은 인 상수이다.) [4점]
①

②

③

④

⑤

"
2024.pdf,3,10,"10. 시각 일 때 동시에 원점을 출발하여 수직선 위를 
움직이는 두 점 P , Q의 시각 (≥)에서의 속도가 각각
,

이다. 시각 에서의 두 점 P , Q 사이의 거리를 라 할 때, 
함수 는 구간 에서 증가하고, 구간 에서 
감소하고, 구간 ∞에서 증가한다. 시각 에서 
까지 점 Q가 움직인 거리는? (단, ) [4점]
①


②


③


④


⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,4,N/A,"4  
홀수형
4
20"
2024.pdf,4,11,"11. 공차가 이 아닌 등차수열 에 대하여 
, 







일 때, 


의 값은? [4점]
①
②
③
④
⑤"
2024.pdf,4,12,"12. 함수 
와 실수 ()에 대하여 
함수 는








-
≥
이다. 함수 의 그래프와 축으로 둘러싸인 영역의 
넓이의 최댓값은? [4점]
①


②


③


④


⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,5,N/A,"홀수형
5
5
20"
2024.pdf,5,13,"13. 그림과 같이 

AB , 
BC 
, 
AD×
CD ,
∠BAC 
 
인 사각형 ABCD가 있다. 삼각형 ABC의 넓이를 , 
삼각형 ACD의 넓이를 라 하고, 삼각형 ACD의 외접원의 
반지름의 길이를 이라 하자. 

일 때, 
sin∠ADC

의 값은? [4점]
①


②


③


④


⑤

"
2024.pdf,5,14,"14. 두 자연수 , 에 대하여 함수 는 







≤


이다. 실수 에 대하여 함수 의 그래프와 직선 가 
만나는 점의 개수를 라 하자.
lim
→
lim
→

를 만족시키는 실수 의 개수가 이 되도록 하는 두 자연수 
, 의 순서쌍 에 대하여 의 최댓값은? [4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,6,N/A,"6  
홀수형
6
20"
2024.pdf,6,15,"15. 첫째항이 자연수인 수열 이 모든 자연수 에 대하여














를 만족시킬 때, 이 되도록 하는 모든 의 값의 
합은? [4점]
①
②
③
④
⑤
단답형"
2024.pdf,6,16,"16. 방정식 



을 만족시키는 실수 의 값을 구하시오.
[3점]"
2024.pdf,6,17,"17. 함수 에 대하여 ′의 값을 구하시오. 
[3점]
이 홀수인 경우
이 짝수인 경우
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,7,N/A,"홀수형
7
7
20"
2024.pdf,7,18,"18. 두 수열 , 에 대하여






, 



일 때, 


의 값을 구하시오. [3점]"
2024.pdf,7,19,"19. 함수 sin 
라 할 때, 에서 부등식 


을 만족시키는 모든 자연수 의 값의 합을 구하시오. [3점]"
2024.pdf,7,20,"20. 인 실수 에 대하여 함수 를

라 하자. 곡선  위의 점 O에서의 접선이 
곡선 와 만나는 점 중 O가 아닌 점을 A 라 하고, 
곡선  위의 점 A 에서의 접선이 축과 만나는 점을 
B라 하자. 점 A 가 선분 OB를 지름으로 하는 원 위의 점일 때, 

OA ×
AB 의 값을 구하시오. [4점]
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,8,N/A,"8  
홀수형
8
20"
2024.pdf,8,21,"21. 양수 에 대하여 ≥에서 정의된 함수 는







≤
log
≥
이다. ≥인 실수 에 대하여 닫힌구간 에서의 
의 최댓값을 라 하자. 구간 ∞에서 함수 의 
최솟값이 가 되도록 하는 양수 의 최솟값을 구하시오. [4점]"
2024.pdf,8,22,"22. 최고차항의 계수가 인 삼차함수 가 다음 조건을 
만족시킨다.
함수 에 대하여 

을 만족시키는 정수 는 존재하지 않는다.
′

, ′
일 때, 의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(확률과 통계)｣ 문제가 제시되오니, 자신이 
선택한 과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,9,N/A,"홀수형
(확률과 통계)
3
9
20
5지선다형"
2024.pdf,9,23,"23. 개의 문자 , , , , 를 모두 일렬로 나열하는 경우의 
수는? [2점]
①
②
③
④
⑤"
2024.pdf,9,24,"24. 두 사건 , 는 서로 독립이고
P∩
,
PP
일 때, P의 값은? (단, 은 의 여사건이다.) [3점]
①

②

③

④

⑤

2024학년도 대학수학능력시험 문제지
(확률과 통계)
제2 교시
홀수형
1
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,10,N/A,"2
(확률과 통계)
홀수형
10
20"
